"","date","survey_wk","location","number_redds","number_salmon","depth_m","pot_depth_m","velocity_m_s","percent_fines","percent_small","percent_med","percent_large","percent_boulder","redd_width_m","redd_length_m","longitude","latitude","elevation_ft","accuracy_ft","boat_point"
"1",2014-11-07,"HF2","upperhour",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.624898763452,39.4225999930689,NA,NA,NA
"2",2014-11-07,"HF2","upperhour",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.624721970295,39.4226166619404,NA,NA,NA
"3",2014-11-07,"HF2","lowerhour",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.626608190798,39.4192277254991,NA,NA,NA
"4",2014-11-07,"HF2","lowerhour",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.627223819039,39.4176998620939,NA,NA,NA
"5",2014-11-07,"HF2","lowerhour",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.627343452105,39.417653889353,NA,NA,NA
"6",2014-11-07,"HF2","lowerhour",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.627554538371,39.4173586922004,NA,NA,NA
"7",2014-11-07,"HF2","lowerhour",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.627411511883,39.4174294735085,NA,NA,NA
"8",2014-11-07,"HF2","lowerhour",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.62741308081,39.4174661545398,NA,NA,NA
"9",2014-11-07,"HF2","lowerhour",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.627261165499,39.4156255231564,NA,NA,NA
"10",2014-11-07,"HF2","lowerhour",1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.627133750753,39.4156289839513,NA,NA,NA
"11",2014-11-07,"HF2","lowerhour",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.627129956771,39.4156719809222,NA,NA,NA
"12",2014-11-07,"HF2","lowerhour",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.627060052528,39.4157329027447,NA,NA,NA
"13",2014-11-07,"HF2","lowerhour",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.626946544251,39.41572855345,NA,NA,NA
"14",2014-11-07,"HF2","lowerhour",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.625766739867,39.4098841591031,NA,NA,NA
"15",2014-11-07,"HF2","keister",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.617266556606,39.4077355470821,NA,NA,NA
"16",2014-11-07,"HF2","keister",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.617221545597,39.4077122251888,NA,NA,NA
"17",2014-11-07,"HF2","keister",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.617196021227,39.4080700505569,NA,NA,NA
"18",2014-11-07,"HF2","keister",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.61715372438,39.4081186353427,NA,NA,NA
"19",2014-11-07,"HF2","keister",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.618137819477,39.407809945446,NA,NA,NA
"20",2014-11-07,"HF2","bigbar",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.621338259995,39.3946113290283,NA,NA,NA
"21",2014-11-07,"HF2","bigbar",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.621400478376,39.3946438634911,NA,NA,NA
"22",2014-11-07,"HF2","bigbar",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.621778196619,39.3948907143843,NA,NA,NA
"23",2014-11-07,"HF2","bigbar",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.621855087183,39.3948793263582,NA,NA,NA
"24",2014-11-07,"HF2","bigbar",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.627520116863,39.386469537501,NA,NA,NA
"25",2014-11-07,"HF2","bigbar",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.627462380443,39.3864733704751,NA,NA,NA
"26",2014-11-07,"HF2","bigbar",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.627398833449,39.3864792342522,NA,NA,NA
"27",2014-11-07,"HF2","lowermcfarland",2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.632770459716,39.3737955082291,NA,NA,NA
"28",2014-11-07,"HF2","lowermcfarland",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.63279027405,39.3737075575492,NA,NA,NA
"29",2014-11-07,"HF2","lowermcfarland",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.632807301349,39.3736541645454,NA,NA,NA
"30",2014-11-07,"HF2","lowermcfarland",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.632888601537,39.3735231464315,NA,NA,NA
"31",2014-09-09,"1-Jan","moessidechannel",1,1,0.3,0.5,0.61,40,20,35,5,0,1.1,2,-121.5581676,39.51609619,NA,NA,NA
"32",2014-09-25,"2-Mar","lowerauditorium",1,0,0.77,0.8,0.41,0,10,40,50,0,1.2,2.6,-121.5606088,39.51543718,NA,NA,NA
"33",2014-10-01,"2-Apr","lowerauditorium",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.5605489,39.51551388,NA,NA,NA
