"","year","survey_wk","moessidechannel","uppercottonwood","cottonwood","lowerauditorium","middleauditorium","topofauditorium","upperauditorium","upperhatchery","hatchery","belowbigholeeast","bigbar","bigholeeast","developing","g95eastsidechannelbottom","g95main","keister","lowerhour","lowermcfarland","upperhour","uppermcfarland","vanceeast","g95eastsidechanneltop","g95westsidechannel","goose","hatcherysidechannel","tablemountain","lowerrobinson","mathews","trailerpark","uppermathews","upperrobinson","eyesidechannel","steep","weir","aleck","steepsidechannel","lowervanceeast","vancewest","greatwestern","lowertablemountain","topofhatchery","palm","bedrock","hatcherypipe","belowlowerauditorium","bigholewest","lowerbig","eye","gateway"
"1",2014,"1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2014,"2",38,7,13,44,4,4,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",2014,"3",36,27,25,103,9,39,28,32,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",2014,"4",0,19,19,68,12,44,8,53,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",2014,"5",0,7,15,80,41,0,7,25,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",2014,"6",0,21,10,23,15,90,39,40,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",2014,"7",14,17,6,37,0,63,0,20,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",2014,"8",0,7,7,157,21,23,9,23,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",2014,"9",0,5,4,0,0,9,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",2014,NA,0,0,0,0,12,0,0,0,0,1,8,2,2,3,1,5,2,4,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",2015,"1",22,1,12,31,8,12,18,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
