"","year","location","survey_group","spawning_area"
"1",2014,"aleck","lfc",FALSE
"2",2014,"bedrock","gsa",TRUE
"3",2014,"belowbigholeeast","hfc",FALSE
"4",2014,"belowlowerauditorium","gsa",TRUE
"5",2014,"bigbar","hfc",TRUE
"6",2014,"bigholeeast","hfc",TRUE
"7",2014,"bigholewest","hfc",FALSE
"8",2014,"cottonwood","gsa",TRUE
"9",2014,"developing","hfc",TRUE
"10",2014,"eye","lfc",FALSE
"11",2014,"eyesidechannel","lfc",FALSE
"12",2014,"g95eastsidechannelbottom","hfc",FALSE
"13",2014,"g95eastsidechanneltop","hfc",TRUE
"14",2014,"g95main","hfc",FALSE
"15",2014,"g95westsidechannel","hfc",FALSE
"16",2014,"gateway","lfc",TRUE
"17",2014,"goose","hfc",FALSE
"18",2014,"greatwestern","lfc",FALSE
"19",2014,"hatchery","gsa",TRUE
"20",2014,"hatcherypipe","gsa",TRUE
"21",2014,"hatcherysidechannel","gsa",TRUE
"22",2014,"keister","hfc",TRUE
"23",2014,"lowerauditorium","gsa",TRUE
"24",2014,"lowerbig","hfc",FALSE
"25",2014,"lowerhour","hfc",TRUE
"26",2014,"lowermcfarland","hfc",TRUE
"27",2014,"lowerrobinson","lfc",TRUE
"28",2014,"lowertablemountain","gsa",TRUE
"29",2014,"lowervanceeast","hfc",FALSE
"30",2014,"mathews","lfc",FALSE
"31",2014,"middleauditorium","gsa",TRUE
"32",2014,"moessidechannel","gsa",TRUE
"33",2014,"palm","hfc",FALSE
"34",2014,"steep","lfc",TRUE
"35",2014,"steepsidechannel","lfc",FALSE
"36",2014,"tablemountain","gsa",TRUE
"37",2014,"topofauditorium","gsa",TRUE
"38",2014,"topofhatchery","gsa",TRUE
"39",2014,"trailerpark","lfc",FALSE
"40",2014,"upperauditorium","gsa",TRUE
"41",2014,"uppercottonwood","gsa",TRUE
"42",2014,"upperhatchery","gsa",TRUE
"43",2014,"upperhour","hfc",FALSE
"44",2014,"uppermathews","lfc",FALSE
"45",2014,"uppermcfarland","hfc",FALSE
"46",2014,"upperrobinson","lfc",TRUE
"47",2014,"vanceeast","hfc",TRUE
"48",2014,"vancewest","hfc",FALSE
"49",2014,"weir","lfc",TRUE
"50",2015,"aleck","lfc",FALSE
"51",2015,"bedrock","gsa",TRUE
"52",2015,"belowbigholeeast","hfc",FALSE
"53",2015,"belowlowerauditorium","gsa",TRUE
"54",2015,"bigbar","hfc",TRUE
"55",2015,"bigholeeast","hfc",TRUE
"56",2015,"bigholewest","hfc",FALSE
"57",2015,"cottonwood","gsa",TRUE
"58",2015,"developing","hfc",TRUE
"59",2015,"eye","lfc",FALSE
"60",2015,"eyesidechannel","lfc",FALSE
"61",2015,"g95eastsidechannelbottom","hfc",FALSE
"62",2015,"g95eastsidechanneltop","hfc",TRUE
"63",2015,"g95main","hfc",FALSE
"64",2015,"g95westsidechannel","hfc",FALSE
"65",2015,"gateway","lfc",TRUE
"66",2015,"goose","hfc",FALSE
"67",2015,"greatwestern","lfc",FALSE
"68",2015,"hatchery","gsa",TRUE
"69",2015,"hatcherypipe","gsa",TRUE
"70",2015,"hatcherysidechannel","gsa",TRUE
"71",2015,"keister","hfc",TRUE
"72",2015,"lowerauditorium","gsa",TRUE
"73",2015,"lowerbig","hfc",FALSE
"74",2015,"lowerhour","hfc",TRUE
"75",2015,"lowermcfarland","hfc",TRUE
"76",2015,"lowerrobinson","lfc",TRUE
"77",2015,"lowertablemountain","gsa",TRUE
"78",2015,"lowervanceeast","hfc",FALSE
"79",2015,"mathews","lfc",FALSE
"80",2015,"middleauditorium","gsa",TRUE
"81",2015,"moessidechannel","gsa",TRUE
"82",2015,"palm","hfc",FALSE
"83",2015,"steep","lfc",TRUE
"84",2015,"steepsidechannel","lfc",FALSE
"85",2015,"tablemountain","gsa",TRUE
"86",2015,"topofauditorium","gsa",TRUE
"87",2015,"topofhatchery","gsa",TRUE
"88",2015,"trailerpark","lfc",FALSE
"89",2015,"upperauditorium","gsa",TRUE
"90",2015,"uppercottonwood","gsa",TRUE
"91",2015,"upperhatchery","gsa",TRUE
"92",2015,"upperhour","hfc",FALSE
"93",2015,"uppermathews","lfc",FALSE
"94",2015,"uppermcfarland","hfc",FALSE
"95",2015,"upperrobinson","lfc",TRUE
"96",2015,"vanceeast","hfc",TRUE
"97",2015,"vancewest","hfc",FALSE
"98",2015,"weir","lfc",TRUE
"99",2016,"aleck","lfc",FALSE
"100",2016,"bedrock","gsa",TRUE
"101",2016,"belowbigholeeast","hfc",FALSE
"102",2016,"belowlowerauditorium","gsa",TRUE
"103",2016,"bigbar","hfc",TRUE
"104",2016,"bigholeeast","hfc",TRUE
"105",2016,"bigholewest","hfc",FALSE
"106",2016,"cottonwood","gsa",TRUE
"107",2016,"developing","hfc",TRUE
"108",2016,"eye","lfc",FALSE
"109",2016,"eyesidechannel","lfc",FALSE
"110",2016,"g95eastsidechannelbottom","hfc",FALSE
"111",2016,"g95eastsidechanneltop","hfc",TRUE
"112",2016,"g95main","hfc",FALSE
"113",2016,"g95westsidechannel","hfc",FALSE
"114",2016,"gateway","lfc",TRUE
"115",2016,"goose","hfc",FALSE
"116",2016,"greatwestern","lfc",FALSE
"117",2016,"hatchery","gsa",TRUE
"118",2016,"hatcherypipe","gsa",TRUE
"119",2016,"hatcherysidechannel","gsa",TRUE
"120",2016,"keister","hfc",TRUE
"121",2016,"lowerauditorium","gsa",TRUE
"122",2016,"lowerbig","hfc",FALSE
"123",2016,"lowerhour","hfc",TRUE
"124",2016,"lowermcfarland","hfc",TRUE
"125",2016,"lowerrobinson","lfc",TRUE
"126",2016,"lowertablemountain","gsa",TRUE
"127",2016,"lowervanceeast","hfc",FALSE
"128",2016,"mathews","lfc",FALSE
"129",2016,"middleauditorium","gsa",TRUE
"130",2016,"moessidechannel","gsa",TRUE
"131",2016,"palm","hfc",FALSE
"132",2016,"steep","lfc",TRUE
"133",2016,"steepsidechannel","lfc",FALSE
"134",2016,"tablemountain","gsa",TRUE
"135",2016,"topofauditorium","gsa",TRUE
"136",2016,"topofhatchery","gsa",TRUE
"137",2016,"trailerpark","lfc",FALSE
"138",2016,"upperauditorium","gsa",TRUE
"139",2016,"uppercottonwood","gsa",TRUE
"140",2016,"upperhatchery","gsa",TRUE
"141",2016,"upperhour","hfc",FALSE
"142",2016,"uppermathews","lfc",FALSE
"143",2016,"uppermcfarland","hfc",FALSE
"144",2016,"upperrobinson","lfc",TRUE
"145",2016,"vanceeast","hfc",TRUE
"146",2016,"vancewest","hfc",FALSE
"147",2016,"weir","lfc",TRUE
"148",2017,"aleck","lfc",FALSE
"149",2017,"bedrock","gsa",TRUE
"150",2017,"belowbigholeeast","hfc",FALSE
"151",2017,"belowlowerauditorium","gsa",TRUE
"152",2017,"bigbar","hfc",TRUE
"153",2017,"bigholeeast","hfc",TRUE
"154",2017,"bigholewest","hfc",FALSE
"155",2017,"cottonwood","gsa",TRUE
"156",2017,"developing","hfc",TRUE
"157",2017,"eye","lfc",FALSE
"158",2017,"eyesidechannel","lfc",FALSE
"159",2017,"g95eastsidechannelbottom","hfc",FALSE
"160",2017,"g95eastsidechanneltop","hfc",TRUE
"161",2017,"g95main","hfc",FALSE
"162",2017,"g95westsidechannel","hfc",FALSE
"163",2017,"gateway","lfc",TRUE
"164",2017,"goose","hfc",FALSE
"165",2017,"greatwestern","lfc",FALSE
"166",2017,"hatchery","gsa",TRUE
"167",2017,"hatcherypipe","gsa",TRUE
"168",2017,"hatcherysidechannel","gsa",TRUE
"169",2017,"keister","hfc",TRUE
"170",2017,"lowerauditorium","gsa",TRUE
"171",2017,"lowerbig","hfc",FALSE
"172",2017,"lowerhour","hfc",TRUE
"173",2017,"lowermcfarland","hfc",TRUE
"174",2017,"lowerrobinson","lfc",TRUE
"175",2017,"lowertablemountain","gsa",TRUE
"176",2017,"lowervanceeast","hfc",FALSE
"177",2017,"mathews","lfc",FALSE
"178",2017,"middleauditorium","gsa",TRUE
"179",2017,"moessidechannel","gsa",TRUE
"180",2017,"palm","hfc",FALSE
"181",2017,"steep","lfc",TRUE
"182",2017,"steepsidechannel","lfc",FALSE
"183",2017,"tablemountain","gsa",TRUE
"184",2017,"topofauditorium","gsa",TRUE
"185",2017,"topofhatchery","gsa",TRUE
"186",2017,"trailerpark","lfc",FALSE
"187",2017,"upperauditorium","gsa",TRUE
"188",2017,"uppercottonwood","gsa",TRUE
"189",2017,"upperhatchery","gsa",TRUE
"190",2017,"upperhour","hfc",FALSE
"191",2017,"uppermathews","lfc",FALSE
"192",2017,"uppermcfarland","hfc",FALSE
"193",2017,"upperrobinson","lfc",TRUE
"194",2017,"vanceeast","hfc",TRUE
"195",2017,"vancewest","hfc",FALSE
"196",2017,"weir","lfc",TRUE
"197",2018,"aleck","lfc",FALSE
"198",2018,"bedrock","gsa",TRUE
"199",2018,"belowbigholeeast","hfc",FALSE
