"","date","survey_wk","location","file_number","number_redds","number_salmon","depth_m","pot_depth_m","velocity_m_s","percent_fines","percent_small","percent_med","percent_large","percent_boulder","redd_width_m","redd_length_m","longitude","latitude","elevation_ft","accuracy_ft","boat_point"
"1","2014-09-09","1-1","moe's side channel",1,1,1,0.3,0.5,0.61,40,20,35,5,0,1.1,2,0,0,NA,NA,NA
"2","2014-09-25","3-2","lower auditorium",11,1,0,0.77,0.8,0.41,0,10,40,50,0,1.2,2.6,0,0,NA,NA,NA
"3","2014-10-01","4-2","lower auditorium",20,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,39.4201484203815,NA,NA,NA
"4","2014-10-06","5-1","hatchery riffle",77,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
"5","2014-10-14","6-1","hatchery riffle",138,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-127.488743884387,0,NA,NA,NA
"6","2014-10-17","6-2","upper cottonwood",45,1,1,0.28,0.38,0.93,10,40,50,0,0,0.7,2,-121.880686743858,0,NA,NA,NA
"7","2014-10-17","6-2","cottonwood",64,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-127.488743884387,0,NA,NA,NA
"8","2014-11-12","8-1","top of auditorium",62,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.88242109965,0,NA,NA,NA
"9","2015-09-17","1-2","middle auditorium",39,1,0,0.46,0.54,1.15,10,30,30,30,0,1.4,2.5,-127.488743884387,0,NA,NA,NA
"10","2015-09-21","2-1","lower auditorium",32,1,1,0.48,0.55,0.4,10,50,45,5,0,1.7,2.1,0,0,NA,NA,NA
"11","2015-09-24","2-3","middle auditorium",78,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-127.488743884387,0,NA,NA,NA
"12","2015-09-28","3-1","cottonwood",47,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-127.488743884387,0,NA,NA,NA
"13","2015-10-15","5-2","goose",19,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.927652035149,0,NA,NA,NA
"14","2015-10-16","5-3","lower auditorium",27,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
"15","2015-10-16","HFWK1","upper big hole east",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-127.488743884387,0,NA,NA,NA
"16","2015-10-16","HFWK1","upper big hole east",2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-127.488743884387,0,NA,NA,NA
"17","2015-10-16","HFWK1","g95 main",3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-127.488743884387,0,NA,NA,NA
"18","2015-10-16","HFWK1","g95 main",4,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-127.488743884387,0,NA,NA,NA
"19","2015-10-16","HFWK1","g95 west side channel",5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-127.488743884387,0,NA,NA,NA
"20","2015-10-16","HFWK1","g95 east side channel bottom",6,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-127.488743884387,0,NA,NA,NA
"21","2015-10-20","6-2","upper hatchery",2,1,1,0.5,0.6,0.43,5,25,60,10,0,0.9,1.5,-127.488743884387,0,NA,NA,NA
"22","2015-10-20","6-2","hatchery",12,1,0,0.54,0.92,0.5,15,35,35,15,0,1.9,2.6,-127.488743884387,0,NA,NA,NA
"23","2015-11-11","9-2","top of auditorium",64,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-127.488743884387,0,NA,NA,NA
