date,number_redds,number_salmon,depth_m,pot_depth_m,velocity_m_s,percent_fines,percent_small,percent_med,percent_large,percent_boulder,redd_width_m,redd_length_m,longitude,latitude,elevation_ft,accuracy_ft,boat_point
2014-09-09,1,1,0.3,0.5,0.61,40,20,35,5,0,1.1,2,0,0,NA,NA,NA
2014-09-09,1,1,0.62,0.7,0.89,0,65,30,5,0,2.5,3.5,-121.55416748753335,39.51674653774581,NA,NA,NA
2014-09-15,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.55575460593923,39.51664798605146,NA,NA,NA
2014-09-15,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.55572814276077,39.516629943560524,NA,NA,NA
2014-09-15,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.5556330143209,39.516663413955726,NA,NA,NA
2014-09-15,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.55565364576653,39.5166956738678,NA,NA,NA
2014-09-15,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.55557368483942,39.516712934482214,NA,NA,NA
2014-09-15,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.55550896523641,39.516691335097796,NA,NA,NA
2014-09-15,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.55541081478853,39.5168027223085,NA,NA,NA
2014-09-15,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.555352124517,39.51681351665655,NA,NA,NA
2014-09-15,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.55528906197303,39.51675629416965,NA,NA,NA
2014-09-15,1,1,0.72,0.76,0.55,0,40,50,10,0,1.5,2,-121.55401100246371,39.51660407108219,NA,NA,NA
2014-09-15,1,0,0.68,0.69,0.49,0,40,60,0,0,2,2.5,-121.55388530731027,39.516526237622,NA,NA,NA
2014-09-15,1,0,0.3,0.49,0.93,0,60,20,10,10,1.3,1.9,-121.55375749040893,39.516437421462214,NA,NA,NA
2014-09-15,1,0,0.62,0.62,0.5,0,50,50,0,0,2,2.5,-121.5536743768847,39.51645636245273,NA,NA,NA
2014-09-15,1,0,0.55,0.66,1.15,10,20,20,30,20,1.5,2,-121.55420794813092,39.51597447826369,NA,NA,NA
2014-09-15,1,0,0.5,0.55,0.49,20,30,30,20,0,1,1.5,-121.55923200061895,39.51568985131262,NA,NA,NA
2014-09-15,1,1,0.55,0.62,0.77,10,20,40,30,0,1,1.5,-121.55934240625598,39.5156560627418,NA,NA,NA
2014-09-15,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.55932833620072,39.51568901815054,NA,NA,NA
2014-09-15,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.55945924327989,39.51568315331253,NA,NA,NA
2014-09-15,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.55948312141024,39.515693468375,NA,NA,NA
2014-09-15,1,3,0.32,0.4,0.28,20,50,50,0,0,1,1.9,-121.5595202980216,39.515734077711194,NA,NA,NA
2014-09-15,1,0,0.29,0.45,0.66,20,30,40,10,0,1,1.5,-121.55954618522475,39.5157698979639,NA,NA,NA
2014-09-15,1,0,0.29,0.43,0.45,40,20,40,0,0,0.7,1.3,-121.55977629310065,39.51575290037295,NA,NA,NA
2014-09-15,1,0,0.5,0.65,0.48,10,10,50,30,0,1,2,-121.55984809781367,39.515651697659465,NA,NA,NA
2014-09-15,1,1,0.62,0.68,0.74,20,20,20,10,30,1.6,1.8,-121.56000838750278,39.51561998613821,NA,NA,NA
2014-09-15,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.55999612687569,39.515681940236156,NA,NA,NA
2014-09-15,1,1,0.47,0.65,0.73,10,30,40,20,0,2.2,1.6,-121.56007453135523,39.51561826474195,NA,NA,NA
2014-09-15,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.56010202612975,39.51548949191614,NA,NA,NA
2014-09-15,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.56012367899443,39.515506735008124,NA,NA,NA
2014-09-15,1,1,0.42,0.56,0.75,10,30,50,10,0,1.75,2,-121.5602349398618,39.51559543824816,NA,NA,NA
2014-09-15,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.56025387011155,39.515636938576655,NA,NA,NA
2014-09-15,1,0,0.29,0.35,0.47,10,40,50,0,0,0.8,1.2,-121.56039451609988,39.51571603156561,NA,NA,NA
2014-09-15,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.56050640500884,39.515709542565546,NA,NA,NA
2014-09-15,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.56058328406776,39.51566339032283,NA,NA,NA
2014-09-15,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.56056368126923,39.51559867193314,NA,NA,NA
2014-09-15,1,0,0.5,0.52,0.73,30,30,40,0,0,0.8,1.8,-121.56063741792919,39.51549285249177,NA,NA,NA
2014-09-15,1,0,0.32,0.42,0.64,0,20,60,20,0,1,1.6,-121.55867544676404,39.51601632149703,NA,NA,NA
2014-09-15,1,3,0.35,0.5,0.32,0,20,50,30,0,1.8,2.25,-121.55866251251084,39.51604101971826,NA,NA,NA
2014-09-15,1,2,0.36,0.48,0.68,0,30,50,20,0,2,1.25,-121.55858188838648,39.51602346853077,NA,NA,NA
2014-09-15,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.55858843389845,39.51604840831332,NA,NA,NA
2014-09-15,1,1,0.4,0.5,0.49,10,20,60,10,0,1,2,-121.5584829772543,39.51608978089334,NA,NA,NA
2014-09-15,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.55838155702648,39.51607151214136,NA,NA,NA
2014-09-15,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.55829707359466,39.51608702466677,NA,NA,NA
2014-09-15,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.55825830028391,39.51608428221978,NA,NA,NA
2014-09-15,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.55824859070637,39.516067222968765,NA,NA,NA
2014-09-15,1,3,0.37,0.45,0.56,10,20,40,20,10,1,1.5,-121.55816686026179,39.516100366091415,NA,NA,NA
2014-09-15,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.55807872152924,39.5161047508057,NA,NA,NA
2014-09-15,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.55798923540343,39.51609722552769,NA,NA,NA
2014-09-15,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.55741897624367,39.51612590105564,NA,NA,NA
2014-09-15,1,1,0.35,0.48,0.41,0,40,50,10,0,2,2.5,-121.5568671344623,39.516294376454184,NA,NA,NA
2014-09-18,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.55578052914414,39.516601113754184,NA,NA,NA
2014-09-18,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.55572538277224,39.51657448872745,NA,NA,NA
